日期,通報內容
112/09/26,中共解放軍臺海周邊海、空域動態(112年9月26日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月26日0900時 一、日期： 中華民國112年9月25日（星期一）0600時至9月26日（星期二）0500時止。 二、活動動態： 迄0500時止，偵獲共機7架次(其中進入西南及東南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/25,中共解放軍臺海周邊海、空域動態(112年9月25日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月25日0900時 一、日期： 中華民國112年9月24日（星期日）0600時至9月25日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/24,中共解放軍臺海周邊海、空域動態(112年9月24日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月24日0900時 一、日期： 中華民國112年9月23日（星期六）0600時至9月24日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南及東南空域2架次)、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/23,中共解放軍臺海周邊海、空域動態(112年9月23日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月23日0900時 一、日期： 中華民國112年9月22日（星期五）0600時至9月23日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南及東南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/22,中共解放軍臺海周邊海、空域動態(112年9月22日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月22日0900時 一、日期： 中華民國112年9月21日（星期四）0600時至9月22日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次(其中逾越海峽中線及其延伸線進入北部、西南及東南空域計24架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/21,中共解放軍臺海周邊海、空域動態(112年9月21日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月21日0900時 一、日期： 中華民國112年9月20日（星期三）0600時至9月21日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次(其中逾越海峽中線及其延伸線進入北部及西南空域10架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/20,中共解放軍臺海周邊海、空域動態(112年9月20日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月20日0900時 一、日期： 中華民國112年9月19日（星期二）0600時至9月20日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中逾越海峽中線及其延伸線進入北部及西南空域2架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/19,中共解放軍臺海周邊海、空域動態(112年9月19日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月19日0920時 一、日期： 中華民國112年9月18日（星期一）0600時至9月19日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機55架次(進入西南空域27架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/18,中共解放軍臺海周邊海、空域動態(112年9月18日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月18日0910時 一、日期： 中華民國112年9月17日（星期日）0600時至9月18日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機103架次(其中逾越海峽中線及其延伸線進入西南及東南空域計40架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/17,中共解放軍臺海周邊海、空域動態(112年9月17日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月17日0900時 一、日期： 中華民國112年9月16日（星期六）0600時至9月17日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/16,中共解放軍臺海周邊海、空域動態(112年9月16日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月16日0900時 一、日期： 中華民國112年9月15日（星期五）0600時至9月16日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/15,中共解放軍臺海周邊海、空域動態(112年9月15日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月15日0900時 一、日期： 中華民國112年9月14日（星期四）0600時至9月15日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線及其延伸線進入西南空域13架次)、共艦14艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/14,中共解放軍臺海周邊海、空域動態(112年9月14日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月14日0900時 一、日期： 中華民國112年9月13日（星期三）0600時至9月14日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機68架次(其中逾越海峽中線及其延伸線進入西南部及東南空域40架次)、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/13,中共解放軍臺海周邊海、空域動態(112年9月13日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月13日0900時 一、日期： 中華民國112年9月12日（星期二）0600時至9月13日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次(其中逾越海峽中線及其延伸線進入北部及西南空域9架次)、共艦13艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/12,中共解放軍臺海周邊海、空域動態(112年9月12日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月12日0900時 一、日期： 中華民國112年9月11日（星期一）0600時至9月12日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機22架次(其中逾越海峽中線及其延伸線進入西南空域13架次)、共艦20艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/11,中共解放軍臺海周邊海、空域動態(112年9月11日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月11日0900時 一、日期： 中華民國112年9月10日（星期日）0600時至9月11日（星期一）0500時止。 二、活動動態： 迄0500時止，偵獲共機26架次(其中逾越海峽中線及其延伸線進入西南空域11架次)、共艦13艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/10,中共解放軍臺海周邊海、空域動態(112年9月10日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月10日0900時 一、日期： 中華民國112年9月9日（星期六）0600時至9月10日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/09,中共解放軍臺海周邊海、空域動態(112年9月9日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月9日0900時 一、日期： 中華民國112年9月8日（星期五）0600時至9月9日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/08,中共解放軍臺海周邊海、空域動態(112年9月8日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月8日0900時 一、日期： 中華民國112年9月7日（星期四）0600時至9月8日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/07,
112/09/06,
112/09/05,
112/09/04,
112/09/03,中共解放軍臺海周邊海、空域動態(112年9月3日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月3日0900時 一、日期： 中華民國112年9月2日（星期六）0600時至9月3日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦1艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/02,中共解放軍臺海周邊海、空域動態(112年9月2日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月2日0900時 一、日期： 中華民國112年9月1日（星期五）0600時至9月2日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/01,中共解放軍臺海周邊海、空域動態(112年9月1日) 中共解放軍臺海周邊海、空域動態 發布時間：112年9月1日0900時 一、日期： 中華民國112年8月31日（星期四）0600時至9月1日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/31,中共解放軍臺海周邊海、空域動態(112年8月31日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月31日0900時 一、日期： 中華民國112年8月30日（星期三）0600時至8月31日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次、共艦1艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/30,中共解放軍臺海周邊海、空域動態(112年8月30日) 中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年8月29日（星期二）0600時至8月30日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次（其中逾越海峽中線及其延伸線進入西南空域12架次）、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/29,中共解放軍臺海周邊海、空域動態(112年8月29日) 中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年8月28日（星期一）0600時至8月29日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線及其延伸線進入西南、東南及東北空域3架次）、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/28,中共解放軍臺海周邊海、空域動態(112年8月28日) 中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年8月27日（星期日）0600時至8月28日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線及其延伸線進入西南、東南及東北空域6架次）、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/27,中共解放軍臺海周邊海、空域動態(112年8月27日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月27日0900時 一、日期： 中華民國112年8月26日（星期六）0600時至8月27日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中進入西南及東南空域1架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/26,中共解放軍臺海周邊海、空域動態(112年8月26日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月26日0900時 一、日期： 中華民國112年8月25日（星期五）0600時至8月26日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次(其中逾越海峽中線及其延伸線進入西南、東南及東北空域20架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/25,中共解放軍臺海周邊海、空域動態(112年8月25日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月25日0900時 一、日期： 中華民國112年8月24日（星期四）0600時至8月25日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中逾越海峽中線及其延伸線進入北部及東南空域3架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/24,中共解放軍臺海周邊海、空域動態(112年8月24日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月24日0900時 一、日期： 中華民國112年8月23日（星期三）0600時至8月24日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次(其中進入東南空域1架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/23,中共解放軍臺海周邊海、空域動態(112年8月23日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月23日0900時 一、日期： 中華民國112年8月22日（星期二）0600時至8月23日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中進入東南空域1架次)、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/22,中共解放軍臺海周邊海、空域動態(112年8月22日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月22日0900時 一、日期： 中華民國112年8月21日（星期一）0600時至8月22日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中進入西南空域5架次)、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/21,中共解放軍臺海周邊海、空域動態(112年8月21日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月21日0900時 一、日期： 中華民國112年8月20日（星期日）0600時至8月21日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/20,中共解放軍臺海周邊海、空域動態(112年8月20日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月20日0900時 一、日期： 中華民國112年8月19日（星期六）0600時至8月20日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機45架次(其中逾越海峽中線及其延伸線進入西南空域27架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/19,中共解放軍臺海周邊海、空域動態(112年8月19日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月19日0900時 一、日期： 中華民國112年8月18日（星期五）0600時至8月19日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/18,中共解放軍臺海周邊海、空域動態(112年8月18日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月18日0900時 一、日期： 中華民國112年8月17日（星期四）0600時至8月18日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/17,中共解放軍臺海周邊海、空域動態(112年8月17日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月17日0900時 一、日期： 中華民國112年8月16日（星期三）0600時至8月17日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南及東部空域2架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/16,中共解放軍臺海周邊海、空域動態(112年8月16日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月16日0900時 一、日期： 中華民國112年8月15日（星期二）0600時至8月16日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次(其中進入西南及東部空域3架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/15,中共解放軍臺海周邊海、空域動態(112年8月15日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月15日0900時 一、日期： 中華民國112年8月14日（星期一）0600時至8月15日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/14,中共解放軍臺海周邊海、空域動態(112年8月14日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月14日0900時 一、日期： 中華民國112年8月13日（星期日）0600時至8月14日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/13,中共解放軍臺海周邊海、空域動態(112年8月13日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月13日0900時 一、日期： 中華民國112年8月12日（星期六）0600時至8月13日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/12,中共解放軍臺海周邊海、空域動態(112年8月12日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月12日0900時 一、日期： 中華民國112年8月11日（星期五）0600時至8月12日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入東南部空域1架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/11,中共解放軍臺海周邊海、空域動態(112年8月11日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月11日0900時 一、日期： 中華民國112年8月10日（星期四）0600時至8月11日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次(其中逾越海峽中線2架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/10,中共解放軍臺海周邊海、空域動態(112年8月10日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月10日0900時 一、日期： 中華民國112年8月9日（星期三）0600時至8月10日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機33架次(其中逾越海峽中線及其延伸線進入西南空域10架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/09,中共解放軍臺海周邊海、空域動態(112年8月9日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月9日0900時 一、日期： 中華民國112年8月8日（星期二）0600時至8月9日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中逾越海峽中線及東南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/08,中共解放軍臺海周邊海、空域動態(112年8月8日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月8日0900時 一、日期： 中華民國112年8月7日（星期一）0600時至8月8 日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中進入西南空域1架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/07,中共解放軍臺海周邊海、空域動態(112年8月7日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月7日0900時 一、日期： 中華民國112年8月6日（星期日）0600時至8月7 日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機24架次(其中逾越海峽中線及其延伸線進入西南空域12架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/06,中共解放軍臺海周邊海、空域動態(112年8月6日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月6日0900時 一、日期： 中華民國112年8月5日（星期六）0600時至8月6日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南空域2架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/05,中共解放軍臺海周邊海、空域動態(112年8月5日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月5日0900時 一、日期： 中華民國112年8月4日（星期五）0600時至8月5日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中逾越海峽中線及其延伸線進入西南空域2架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/04,中共解放軍臺海周邊海、空域動態(112年8月4日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月4日0900時 一、日期： 中華民國112年8月3日（星期四）0600時至8月4日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中逾越海峽中線及其延伸線進入西南空域4架次)、共艦11艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/03,中共解放軍臺海周邊海、空域動態(112年8月3日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月3日0900時 一、日期： 中華民國112年8月2日（星期三）0600時至8月3日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中進入西南空域5架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/02,中共解放軍臺海周邊海、空域動態(112年8月2日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月2日0900時 一、日期： 中華民國112年8月1日（星期二）0600時至8月2日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/01,中共解放軍臺海周邊海、空域動態(112年8月1日) 中共解放軍臺海周邊海、空域動態 發布時間：112年8月1日0900時 一、日期： 中華民國112年7月31日（星期一）0600時至8月1日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次(其中進入西南空域1架次)、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/31,中共解放軍臺海周邊海、空域動態(112年7月31日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月31日0900時 一、日期： 中華民國112年7月30日（星期日）0600時至7月31日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次(其中逾越海峽中線6架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/30,
112/07/29,
112/07/28,
112/07/27,中共解放軍臺海周邊海、空域動態(112年7月27日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月27日0900時 一、日期： 中華民國112年7月26日（星期三）0600時至7月27日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/26,中共解放軍臺海周邊海、空域動態(112年7月26日) 一、日期： 中華民國112年7月25日（星期二）0600時至7月26日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次(其中進入西南空域3架次)，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/25,中共解放軍臺海周邊海、空域動態(112年7月25日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月25日0900時 一、日期： 中華民國112年7月24日（星期一）0600時至7月25日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機25架次(其中逾越海峽中線及其延伸線進入西南及東南空域10架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/24,中共解放軍臺海周邊海、空域動態(112年7月24日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月24日0900時 一、日期： 中華民國112年7月23日（星期日）0600時至7月24日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次(其中進入西南空域4架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/23,中共解放軍臺海周邊海、空域動態(112年7月23日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月23日0900時 一、日期： 中華民國112年7月22日（星期六）0600時至7月23日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南及東部空域2架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/22,中共解放軍臺海周邊海、空域動態(112年7月22日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月22日0900時 一、日期： 中華民國112年7月21日（星期五）0600時至7月22日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機37架次(其中逾越海峽中線及其延伸線進入西南及東部空域22架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/21,中共解放軍臺海周邊海、空域動態(112年7月21日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月21日0900時 一、日期： 中華民國112年7月20日（星期四）0600時至7月21日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次(其中逾越海峽中線及其延伸線進入西南及東部空域13架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/20,中共解放軍臺海周邊海、空域動態(112年7月20日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月20日0900時 一、日期： 中華民國112年7月19日（星期三）0600時至7月20日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入東北及東南空域2架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/19,中共解放軍臺海周邊海、空域動態(112年7月19日) 一、日期： 中華民國112年7月18日（星期二）0600時至7月19日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/18,中共解放軍臺海周邊海、空域動態(112年7月18日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月18日0900時 一、日期： 中華民國112年7月17日（星期一）0600時至7月18日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/17,中共解放軍臺海周邊海、空域動態(112年7月17日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月17日0900時 一、日期： 中華民國112年7月16日（星期日）0600時至7月17日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/16,中共解放軍臺海周邊海、空域動態(112年7月16日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月16日0900時 一、日期： 中華民國112年7月15日（星期六）0600時至7月16日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/15,中共解放軍臺海周邊海、空域動態(112年7月15日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月15日0900時 一、日期： 中華民國112年7月14日（星期五）0600時至7月15日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中進入西南空域3架次)、共艦16艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/14,中共解放軍臺海周邊海、空域動態(112年7月14日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月14日0900時 一、日期： 中華民國112年7月13日（星期三）0600時至7月14日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機30架次(其中逾越海峽中線及其延伸線進入西南及東南空域17架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/13,中共解放軍臺海周邊海、空域動態(112年7月13日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月13日0900時 一、日期： 中華民國112年7月12日（星期三）0600時至7月13日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機33架次(其中逾越海峽中線及其延伸線進入西南及東南空域24架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/07/12,中共解放軍臺海周邊海、空域動態(112年7月12日) 中共解放軍臺海周邊海、空域動態 發布時間：112年7月12日0900時 一、日期： 中華民國112年7月11日（星期二）0600時至7月12日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機38架次(其中逾越海峽中線及其延伸線進入西南及東部空域32架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
